Date,Away,Home,Away Expected,Home Expected,Away Actual,Home Actual,Expected Winner,Actual Winner,Odds of Expected ,Payout,,,,,,
7/20/2025,BAL,TBR,3.8,3.6,5,3,BAL,BAL,105,$105.00,,JUL 20-26 P/L,,JUL 20-26 W/L,,JUL 20-26 Win%
7/20/2025,NYY,ATL,4.2,3.7,4,2,NYY,NYY,110,$110.00,20-Jul,$733.14,,10,2,83.33%
7/20/2025,CIN,NYM,3.4,3.7,2,3,NYM,NYM,-135,$74.07,21-Jul,-$202.86,,5,8,38.46%
7/20/2025,CWS,PIT,4.4,3.5,7,2,CWS,CWS,125,$125.00,,,,,,
7/20/2025,OAK,CLE,3.7,3.4,2,8,OAK,CLE,-110,-$100.00,,,,,,
7/20/2025,KCR,MIA,3,3.7,7,4,KCR,KCR,-120,$83.33,,,,,,
7/20/2025,LAA,PHI,3.5,3.4,8,2,LAA,LAA,140,$140.00,,,,,,
7/20/2025,BOS,CHI,3.6,3.5,6,1,BOS,BOS,-135,$74.07,,,,,,
7/20/2025,MIN,COL,2.9,3.3,7,1,MIN,MIN,-250,$40.00,,,,,,
7/20/2025,HOU,SEA,4,3.7,11,3,HOU,HOU,115,$115.00,,,,,,
7/20/2025,STl,ARI,3,3.9,3,5,ARI,ARI,-150,$66.67,,,,,,
7/20/2025,MIL,LAD,3.5,4.3,6,5,LAD,MIL,-180,-$100.00,,,,,,
7/20/2025,DET,TEX,3.2,3.8,2,1,PASS,DET,0,$0.00,,,,,,
,,,,,,,,,,,,,,,,
7/21/2025,BAL,CLE,4.0,3.6,5,10,BAL,CLE,115,-$100.00,,,,,,
7/21/2025,DET,PIT,3.3,3.8,0,3,DET,PIT,115,-$100.00,,,,,,
7/21/2025,SDP,MIA,3.2,3.6,2,1,SDP,SDP,120,$120.00,,,,,,
7/21/2025,BOS,PHI,3.5,3.6,2,3,BOS,PHI,200,-$100.00,,,,,,
7/21/2025,CIN,WSN,3.2,3.5,8,10,CIN,WSN,-125,-$100.00,,,,,,
7/21/2025,NYY,TOR,3.7,3.7,1,4,NYY,TOR,-120,-$100.00,,,,,,
7/21/2025,LAA,NYM,3.7,3.7,5,7,PASS,NYM,0,$0.00,,,,,,
7/21/2025,SFG,ATL,3.7,3.4,5,9,SFG,ATL,115,-$100.00,,,,,,
7/21/2025,CWS,TBR,4.7,3.5,8,3,CWS,CWS,180,$180.00,,,,,,
7/21/2025,KCR,CHC,3.5,3.7,12,4,KCR,KCR,130,$130.00,,,,,,
7/21/2025,OAK,TEX,3.2,3.4,2,7,OAK,TEX,EVEN,-$100.00,,,,,,
7/21/2025,STL,COL,2.8,3.5,6,2,STL,STL,-175,$57.14,,,,,,
7/21/2025,HOU,ARI,3.2,4.1,6,3,ARI,HOU,-150,-$100.00,,,,,,
7/21/2025,MIL,SEA,3.8,3.9,6,0,MIL,MIL,110,$110.00,,,,,,
7/21/2025,MIN,LAD,3.5,3.8,2,5,PASS,LAD,0,$0.00,,,,,,
