Date,Away,Home,Away Expected,Home Expected,Away Actual,Home Actual,Expected Winner,Actual Winner,Odds of Expected ,Payout,,,,
7/20/2025,BAL,TBR,3.8,3.6,5,3,BAL,BAL,105,$105.00,,JUL 20-26 P/L,,JUL 20-26 W/L
7/20/2025,NYY,ATL,4.2,3.7,4,2,NYY,NYY,110,$110.00,20-Jul,$733.14,,10-2
7/20/2025,CIN,NYM,3.4,3.7,2,3,NYM,NYM,-135,$74.07,,,,
7/20/2025,CWS,PIT,4.4,3.5,7,2,CWS,CWS,125,$125.00,,,,
7/20/2025,OAK,CLE,3.7,3.4,2,8,OAK,CLE,-110,-$100.00,,,,
7/20/2025,KCR,MIA,3,3.7,7,4,KCR,KCR,-120,$83.33,,,,
7/20/2025,LAA,PHI,3.5,3.4,8,2,LAA,LAA,140,$140.00,,,,
7/20/2025,BOS,CHI,3.6,3.5,6,1,BOS,BOS,-135,$74.07,,,,
7/20/2025,MIN,COL,2.9,3.3,7,1,MIN,MIN,-250,$40.00,,,,
7/20/2025,HOU,SEA,4,3.7,11,3,HOU,HOU,115,$115.00,,,,
7/20/2025,STl,ARI,3,3.9,3,5,ARI,ARI,-150,$66.67,,,,
7/20/2025,MIL,LAD,3.5,4.3,6,5,LAD,MIL,-180,-$100.00,,,,
7/20/2025,DET,TEX,3.2,3.8,2,1,PASS,DET,0,$0.00,,,,
